PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,3PM,3PA,FTM,FTA,AST,STL
Damian Lillard,POR,7,247,170,52,131,18,48,48,54,40,10
Damian Lillard,POR,15,557,388,123,286,37,119,105,112,95,12
Damian Lillard,POR,9,345,224,76,183,32,83,40,42,62,9
Damian Lillard,POR,13,452,326,107,213,45,105,67,76,91,13
Damian Lillard,POR,10,370,314,104,216,32,90,74,80,67,12
Damian Lillard,POR,14,518,390,114,282,47,134,115,126,91,15
Damian Lillard,POR,5,180,150,45,104,16,50,44,48,35,6
Dennis Schroder,ATL,5,165,111,44,101,5,18,18,20,34,9
Dennis Schroder,ATL,14,446,271,106,226,18,49,41,47,93,13
Dennis Schroder,ATL,14,454,270,108,249,14,54,40,48,98,15
Dennis Schroder,ATL,15,446,280,104,259,15,62,57,65,90,16
Dennis Schroder,ATL,10,295,185,66,155,11,38,42,48,41,14
Dennis Schroder,ATL,9,271,184,72,156,13,41,27,37,61,5
Dennis Schroder,ATL,0,0,0,0,0,0,0,0,0,0,0
Eric Bledsoe,MIL,3,83,47,16,40,4,13,11,14,9,4
Eric Bledsoe,MIL,10,302,167,61,138,11,42,34,48,50,21
Eric Bledsoe,MIL,14,459,270,93,202,25,78,59,78,58,27
Eric Bledsoe,MIL,15,444,222,79,188,22,71,42,52,56,38
Eric Bledsoe,MIL,11,362,213,76,144,25,57,36,38,64,18
Eric Bledsoe,MIL,15,480,279,102,205,27,75,48,65,93,31
Eric Bledsoe,MIL,6,192,115,41,72,11,24,22,23,40,10
Goran Dragic,MIA,6,208,119,48,95,9,23,14,18,25,4
Goran Dragic,MIA,15,479,258,89,204,29,73,51,63,70,14
Goran Dragic,MIA,12,344,166,64,164,10,37,28,40,53,14
Goran Dragic,MIA,13,433,241,92,208,19,58,38,52,72,7
Goran Dragic,MIA,10,319,195,72,155,19,43,32,39,52,7
Goran Dragic,MIA,16,512,276,102,215,21,58,51,55,75,13
Goran Dragic,MIA,3,82,41,17,34,4,8,3,4,12,4
James Harden,HOU,8,291,208,68,161,27,78,45,56,74,14
James Harden,HOU,13,464,454,132,282,67,155,123,138,131,21
James Harden,HOU,14,517,470,134,298,51,139,151,174,113,28
James Harden,HOU,7,246,195,62,140,26,71,45,55,63,15
James Harden,HOU,12,411,361,103,230,48,129,107,122,97,19
James Harden,HOU,13,451,369,112,257,31,115,114,136,109,25
James Harden,HOU,5,172,134,40,81,15,35,39,46,43,4
Jrue Holiday,NOP,7,258,105,42,92,9,27,12,15,42,11
Jrue Holiday,NOP,14,500,224,89,193,17,68,29,33,77,16
Jrue Holiday,NOP,15,554,324,127,242,37,87,33,41,67,19
Jrue Holiday,NOP,14,534,284,111,219,18,65,44,56,76,26
Jrue Holiday,NOP,11,396,234,95,192,13,39,31,44,76,15
Jrue Holiday,NOP,14,482,261,109,229,18,48,25,33,100,18
Jrue Holiday,NOP,6,202,105,42,77,8,22,13,16,48,18
Kemba Walker,CHA,7,243,171,52,112,15,39,52,57,45,6
Kemba Walker,CHA,12,424,253,87,202,30,84,49,61,73,6
Kemba Walker,CHA,15,516,312,107,271,38,118,60,74,74,26
Kemba Walker,CHA,14,491,340,114,265,48,115,64,76,87,19
Kemba Walker,CHA,12,408,307,102,217,48,99,55,60,66,16
Kemba Walker,CHA,15,523,328,107,249,46,122,68,76,77,17
Kemba Walker,CHA,5,130,59,19,47,6,24,15,16,22,1
Kyrie Irving,BOS,7,242,152,57,129,15,44,23,25,40,17
Kyrie Irving,BOS,15,455,362,130,260,33,85,69,81,74,16
Kyrie Irving,BOS,16,534,427,157,315,53,121,60,64,73,14
Kyrie Irving,BOS,10,355,252,92,194,29,73,39,46,53,8
Kyrie Irving,BOS,9,264,225,80,151,30,67,35,38,51,6
Kyrie Irving,BOS,3,81,48,18,38,6,17,6,7,15,4
Kyrie Irving,BOS,0,0,0,0,0,0,0,0,0,0,0
Russell Westbrook,OKC,7,233,137,51,108,9,25,26,42,83,9
Russell Westbrook,OKC,13,474,310,104,274,30,87,72,94,106,35
Russell Westbrook,OKC,17,639,472,181,404,17,73,93,131,181,31
Russell Westbrook,OKC,14,489,380,152,314,13,37,63,92,143,29
Russell Westbrook,OKC,10,374,220,77,189,7,45,59,66,116,15
Russell Westbrook,OKC,14,515,386,148,297,15,41,75,104,130,17
Russell Westbrook,OKC,5,190,123,44,101,6,18,29,37,61,11
Stephen Curry,GSW,8,265,224,67,136,32,83,58,61,50,13
Stephen Curry,GSW,12,387,298,96,215,38,107,68,73,77,21
Stephen Curry,GSW,4,123,122,42,72,23,41,15,17,27,6
Stephen Curry,GSW,12,412,354,109,212,62,134,74,85,80,18
Stephen Curry,GSW,11,358,255,84,175,44,107,43,45,68,17
Stephen Curry,GSW,4,85,93,30,54,13,29,20,21,8,5
Stephen Curry,GSW,0,0,0,0,0,0,0,0,0,0,0
