PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,3PM,3PA,FTM,FTA,REB,AST
Bradley Beal,WAS,6,194,117,42,93,6,24,27,34,27,18
Bradley Beal,WAS,15,536,371,129,279,42,102,71,86,67,55
Bradley Beal,WAS,16,580,376,144,332,40,115,48,67,68,59
Bradley Beal,WAS,13,497,327,115,228,35,86,62,79,59,64
Bradley Beal,WAS,12,452,261,102,220,28,78,29,33,58,80
Bradley Beal,WAS,14,503,280,107,230,36,89,30,40,55,70
Bradley Beal,WAS,6,216,125,44,102,12,36,25,30,29,27
CJ McCollum,POR,6,211,139,50,105,16,28,23,27,27,16
CJ McCollum,POR,15,556,306,115,261,42,95,34,38,64,39
CJ McCollum,POR,13,479,270,105,247,20,68,40,46,48,44
CJ McCollum,POR,16,561,383,147,305,49,104,40,45,62,64
CJ McCollum,POR,10,354,199,80,195,19,57,20,26,29,25
CJ McCollum,POR,15,545,331,129,278,35,91,38,51,64,55
CJ McCollum,POR,6,218,104,41,114,8,33,14,17,27,29
DeMar DeRozan,TOR,6,207,142,48,100,2,8,44,56,22,27
DeMar DeRozan,TOR,14,479,324,120,247,14,48,70,85,64,67
DeMar DeRozan,TOR,14,482,353,117,247,16,41,103,125,60,71
DeMar DeRozan,TOR,15,524,379,135,302,21,63,88,104,55,89
DeMar DeRozan,TOR,11,350,227,79,184,15,52,54,63,35,57
DeMar DeRozan,TOR,15,515,333,116,257,16,60,85,106,59,79
DeMar DeRozan,TOR,5,155,82,30,76,5,15,17,20,20,27
Devin Booker,PHX,7,230,155,57,126,17,41,24,28,44,30
Devin Booker,PHX,15,504,350,119,268,36,100,76,87,52,58
Devin Booker,PHX,6,223,193,63,144,20,49,47,54,30,29
Devin Booker,PHX,13,443,304,94,229,35,92,81,86,55,78
Devin Booker,PHX,7,257,195,66,163,21,61,42,50,40,33
Devin Booker,PHX,6,209,149,56,124,18,41,19,24,23,25
David Booker,PHX,0,0,0,0,0,0,0,0,0,0,0
Donovan Mitchell,UTA,7,155,65,25,76,8,28,7,8,10,17
Donovan Mitchell,UTA,15,475,271,99,240,39,104,34,42,58,54
Donovan Mitchell,UTA,13,445,300,113,223,29,81,45,51,44,49
Donovan Mitchell,UTA,13,456,288,107,238,32,100,42,53,49,44
Donovan Mitchell,UTA,10,346,214,78,189,29,76,29,34,42,38
Donovan Mitchell,UTA,15,568,345,124,292,37,127,60,79,61,64
Donovan Mitchell,UTA,6,194,133,49,104,13,34,22,30,32,25
Evan Fournier,ORL,7,232,154,55,101,20,36,24,25,30,27
Evan Fournier,ORL,15,472,236,87,202,29,85,33,39,43,40
Evan Fournier,ORL,7,240,141,52,101,17,35,20,24,24,21
Evan Fournier,ORL,13,423,226,81,193,30,84,34,36,36,37
Evan Fournier,ORL,11,352,197,71,153,24,70,31,38,36,28
Evan Fournier,ORL,4,118,59,22,52,7,25,8,11,11,12
Evan Fournier,ORL,0,0,0,0,0,0,0,0,0,0,0
Jimmy Butler,MIN,5,191,81,29,66,4,12,19,21,27,22
Jimmy Butler,MIN,15,532,269,96,218,18,46,59,74,82,68
Jimmy Butler,MIN,15,583,397,136,269,18,63,107,116,82,79
Jimmy Butler,MIN,13,466,298,91,190,16,35,100,118,68,70
Jimmy Butler,MIN,8,305,198,65,139,13,38,55,64,46,40
Jimmy Butler,MIN,0,0,0,0,0,0,0,0,0,0,0
Jimmy Butler,MIN,0,0,0,0,0,0,0,0,0,0,0
JJ Redick,PHI,5,162,66,25,59,11,28,5,5,16,16
JJ Redick,PHI,14,467,227,80,189,37,91,30,33,40,52
JJ Redick,PHI,13,429,253,81,176,37,96,54,56,27,39
JJ Redick,PHI,5,141,98,28,55,16,31,26,28,18,13
JJ Redick,PHI,11,317,152,52,129,26,75,22,24,27,36
JJ Redick,PHI,16,420,264,89,178,43,95,43,53,36,35
JJ Redick,PHI,6,180,138,49,93,23,44,17,19,14,19
Lou Williams,LAC,6,134,79,26,61,8,24,19,22,11,23
Lou Williams,LAC,14,451,295,99,214,38,94,59,65,42,58
Lou Williams,LAC,14,474,353,107,247,47,110,92,104,37,81
Lou Williams,LAC,15,530,423,135,306,49,136,104,115,33,94
Lou Williams,LAC,10,329,218,73,164,18,64,54,62,27,61
Lou Williams,LAC,16,539,336,118,285,22,77,78,94,43,86
Lou Williams,LAC,4,131,78,24,60,4,13,26,29,5,14
Victor Oladipo,IND,7,216,167,54,110,16,35,43,49,31,21
Victor Oladipo,IND,14,479,312,119,258,33,77,41,56,73,60
Victor Oladipo,IND,12,441,342,121,238,41,101,59,76,70,48
Victor Oladipo,IND,14,479,303,116,234,24,78,47,56,69,64
Victor Oladipo,IND,8,272,201,74,169,11,47,42,50,51,39
Victor Oladipo,IND,15,510,302,112,256,25,74,53,65,74,58
Victor Oladipo,IND,5,155,108,44,77,11,22,9,16,22,33
