PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FTM,FTA,REB
Andrew Wiggins,MIN,7,248,138,48,112,29,49,34
Andrew Wiggins,MIN,15,561,281,108,231,48,71,57
Andrew Wiggins,MIN,15,536,233,91,230,27,49,53
Andrew Wiggins,MIN,17,606,327,134,296,39,56,83
Andrew Wiggins,MIN,10,361,156,65,138,14,22,37
Andrew Wiggins,MIN,13,484,245,94,216,37,54,63
Andrew Wiggins,MIN,5,183,72,29,77,8,13,31
Bojan Bogdanovic,IND,14,386,155,54,125,30,37,46
Bojan Bogdanovic,IND,7,195,87,32,66,14,18,22
Bojan Bogdanovic,IND,15,486,248,92,174,23,27,47
Bojan Bogdanovic,IND,15,480,176,64,157,25,29,48
Bojan Bogdanovic,IND,9,299,170,58,111,30,32,36
Bojan Bogdanovic,IND,15,475,233,77,164,50,55,54
Bojan Bogdanovic,IND,5,144,72,27,55,6,7,17
Harrison Barnes,DAL,8,282,133,47,124,27,36,51
Harrison Barnes,DAL,14,497,280,100,211,65,75,112
Harrison Barnes,DAL,16,541,288,115,248,37,47,90
Harrison Barnes,DAL,14,487,256,98,218,39,46,96
Harrison Barnes,DAL,8,255,143,50,112,27,30,37
Harrison Barnes,DAL,13,429,269,97,224,51,63,69
Harrison Barnes,DAL,4,144,83,30,71,13,16,13
Kevin Durant,GSW,8,291,203,73,137,32,40,62
Kevin Durant,GSW,9,298,221,83,160,36,40,54
Kevin Durant,GSW,15,520,405,141,295,88,95,107
Kevin Durant,GSW,11,382,272,96,185,51,59,73
Kevin Durant,GSW,11,369,304,103,170,67,75,68
Kevin Durant,GSW,8,267,226,78,159,49,56,56
Kevin Durant,GSW,6,199,161,56,116,36,39,44
Khris Middleton,MIL,7,248,112,42,108,22,23,41
Khris Middleton,MIL,13,486,274,103,213,39,48,71
Khris Middleton,MIL,14,537,310,110,230,54,59,66
Khris Middleton,MIL,15,547,303,111,235,60,71,81
Khris Middleton,MIL,12,413,219,74,165,57,65,59
Khris Middleton,MIL,15,548,324,116,230,57,63,76
Khris Middleton,MIL,6,203,110,37,91,31,33,35
LeBron James,CLE,7,259,172,68,116,25,32,50
LeBron James,CLE,15,556,444,172,296,66,88,130
LeBron James,CLE,14,533,385,142,271,74,92,115
LeBron James,CLE,14,504,329,127,251,62,93,102
LeBron James,CLE,10,373,270,107,196,38,54,105
LeBron James,CLE,16,597,495,188,341,87,123,153
LeBron James,CLE,6,204,156,53,109,36,49,54
Otto Porter Jr.,WAS,12,391,133,50,116,19,21,62
Otto Porter Jr.,WAS,6,200,112,44,79,9,13,45
Otto Porter Jr.,WAS,14,457,206,82,163,19,21,98
Otto Porter Jr.,WAS,14,411,184,72,151,15,19,81
Otto Porter Jr.,WAS,12,392,229,91,174,23,26,89
Otto Porter Jr.,WAS,14,442,201,78,153,17,23,92
Otto Porter Jr.,WAS,5,138,69,28,49,4,5,25
Paul George,OKC,7,229,137,51,118,14,15,31
Paul George,OKC,13,509,273,95,228,42,55,87
Paul George,OKC,14,524,290,90,214,65,80,70
Paul George,OKC,14,486,324,107,223,67,82,74
Paul George,OKC,12,445,317,108,236,56,70,72
Paul George,OKC,14,512,255,85,222,58,70,84
Paul George,OKC,5,185,138,40,99,36,40,29
Tim Hardaway,NYK,0,0,0,0,0,0,0,0
Tim Hardaway,NYK,9,262,150,52,117,22,28,34
Tim Hardaway,NYK,2,64,31,11,23,4,6,12
Tim Hardaway Jr.,NYK,6,203,86,28,79,16,20,15
Tim Hardaway Jr.,NYK,15,513,288,105,238,44,55,73
Tim Hardaway Jr.,NYK,10,324,149,57,153,18,23,35
Tim Hardaway Jr.,NYK,15,519,292,107,246,42,47,55
TJ Warren,PHX,7,192,104,42,88,19,25,42
TJ Warren,PHX,16,518,319,132,263,52,69,91
TJ Warren,PHX,15,501,315,126,269,57,73,82
TJ Warren,PHX,11,376,234,104,183,21,31,46
TJ Warren,PHX,10,338,179,72,154,33,44,41
TJ Warren,PHX,6,216,120,53,106,11,13,31
TJ Warren,PHX,0,0,0,0,0,0,0,0
